Energy;Month;Day;Hour
1,187;2;20;16
0,272;2;20;17
0,0;2;20;18
0,0;2;20;19
0,0;2;20;20
0,0;2;20;21
0,0;2;20;22
0,0;2;20;23
0,0;2;21;0
0,0;2;21;1
0,0;2;21;2
0,0;2;21;3
0,0;2;21;4
0,0;2;21;5
0,0;2;21;6
0,0;2;21;7
1,3;2;21;8
2,072;2;21;9
2,58;2;21;10
2,876;2;21;11
2,878;2;21;12
2,785;2;21;13
2,494;2;21;14
1,924;2;21;15
1,184;2;21;16
0,279;2;21;17
0,0;2;21;18
0,0;2;21;19
0,0;2;21;20
0,0;2;21;21
0,0;2;21;22
0,0;2;21;23
0,0;2;22;0
0,0;2;22;1
0,0;2;22;2
0,0;2;22;3
0,0;2;22;4
0,0;2;22;5
0,0;2;22;6
0,0;2;22;7
1,316;2;22;8
2,069;2;22;9
2,563;2;22;10
2,808;2;22;11
2,82;2;22;12
2,726;2;22;13
2,418;2;22;14
1,892;2;22;15
1,171;2;22;16
0,286;2;22;17
0,0;2;22;18
0,0;2;22;19
0,0;2;22;20
0,0;2;22;21
0,0;2;22;22
0,0;2;22;23
0,0;2;23;0
0,0;2;23;1
0,0;2;23;2
0,0;2;23;3
0,0;2;23;4
0,0;2;23;5
0,0;2;23;6
0,0;2;23;7
1,312;2;23;8
2,08;2;23;9
2,559;2;23;10
2,823;2;23;11
2,823;2;23;12
2,735;2;23;13
2,444;2;23;14
1,908;2;23;15
1,17;2;23;16
0,291;2;23;17
0,0;2;23;18
0,0;2;23;19
0,0;2;23;20
0,0;2;23;21
0,0;2;23;22
0,0;2;23;23
0,0;2;24;0
0,0;2;24;1
0,0;2;24;2
0,0;2;24;3
0,0;2;24;4
0,0;2;24;5
0,0;2;24;6
0,0;2;24;7
1,265;2;24;8
2,048;2;24;9
2,533;2;24;10
2,805;2;24;11
2,866;2;24;12
2,796;2;24;13
2,498;2;24;14
1,953;2;24;15
1,181;2;24;16
0,296;2;24;17
0,0;2;24;18
0,0;2;24;19
0,0;2;24;20
0,0;2;24;21
0,0;2;24;22
0,0;2;24;23
0,0;2;25;0
0,0;2;25;1
0,0;2;25;2
0,0;2;25;3
0,0;2;25;4
0,0;2;25;5
0,0;2;25;6
0,0;2;25;7
1,211;2;25;8
1,888;2;25;9
2,242;2;25;10
0,309;2;25;11
2,853;2;25;12
2,607;2;25;13
2,217;2;25;14
1,148;2;25;15
1,037;2;25;16
0,209;2;25;17
0,0;2;25;18
0,0;2;25;19
0,0;2;25;20
0,0;2;25;21
0,0;2;25;22
0,0;2;25;23
0,0;2;26;0
0,0;2;26;1
0,0;2;26;2
0,0;2;26;3
0,0;2;26;4
0,0;2;26;5
0,0;2;26;6
0,0;2;26;7
1,286;2;26;8
2,132;2;26;9
2,688;2;26;10
2,988;2;26;11
2,966;2;26;12
2,919;2;26;13
2,593;2;26;14
2,012;2;26;15
1,229;2;26;16
0,318;2;26;17
0,0;2;26;18
0,0;2;26;19
0,0;2;26;20
0,0;2;26;21
0,0;2;26;22
0,0;2;26;23
0,0;2;27;0
0,0;2;27;1
0,0;2;27;2
0,0;2;27;3
0,0;2;27;4
0,0;2;27;5
0,0;2;27;6
0,0;2;27;7
1,343;2;27;8
2,224;2;27;9
2,673;2;27;10
3,015;2;27;11
3,079;2;27;12
2,91;2;27;13
2,503;2;27;14
1,836;2;27;15
1,049;2;27;16
0,299;2;27;17
0,0;2;27;18
0,0;2;27;19
0,0;2;27;20
0,0;2;27;21
0,0;2;27;22
0,0;2;27;23
0,0;2;28;0
0,0;2;28;1
0,0;2;28;2
