Energy;Month;Day;Hour
0,0;1;30;6
0,0;1;30;7
0,315;1;30;8
0,236;1;30;9
0,24;1;30;10
0,823;1;30;11
1,021;1;30;12
1,06;1;30;13
0,462;1;30;14
1,626;1;30;15
0,835;1;30;16
0,009;1;30;17
0,0;1;30;18
0,0;1;30;19
0,0;1;30;20
0,0;1;30;21
0,0;1;30;22
0,0;1;30;23
0,0;1;31;0
0,0;1;31;1
0,0;1;31;2
0,0;1;31;3
0,0;1;31;4
0,0;1;31;5
0,0;1;31;6
0,0;1;31;7
0,608;1;31;8
1,271;1;31;9
1,445;1;31;10
2,025;1;31;11
2,447;1;31;12
2,263;1;31;13
0,907;1;31;14
0,675;1;31;15
0,817;1;31;16
0,0;1;31;17
0,0;1;31;18
0,0;1;31;19
0,0;1;31;20
0,0;1;31;21
0,0;1;31;22
0,0;1;31;23
0,0;2;1;0
0,0;2;1;1
0,0;2;1;2
0,0;2;1;3
0,0;2;1;4
0,0;2;1;5
0,0;2;1;6
0,0;2;1;7
0,246;2;1;8
0,729;2;1;9
0,956;2;1;10
2,221;2;1;11
2,458;2;1;12
2,339;2;1;13
1,998;2;1;14
1,424;2;1;15
0,796;2;1;16
0,013;2;1;17
0,0;2;1;18
0,0;2;1;19
0,0;2;1;20
0,0;2;1;21
0,0;2;1;22
0,0;2;1;23
0,0;2;2;0
0,0;2;2;1
0,0;2;2;2
0,0;2;2;3
0,0;2;2;4
0,0;2;2;5
0,0;2;2;6
0,0;2;2;7
0,252;2;2;8
0,183;2;2;9
0,433;2;2;10
0,251;2;2;11
0,277;2;2;12
0,188;2;2;13
0,222;2;2;14
0,309;2;2;15
0,166;2;2;16
0,003;2;2;17
0,0;2;2;18
0,0;2;2;19
0,0;2;2;20
0,0;2;2;21
0,0;2;2;22
0,0;2;2;23
0,0;2;3;0
0,0;2;3;1
0,0;2;3;2
0,0;2;3;3
0,0;2;3;4
0,0;2;3;5
0,0;2;3;6
0,0;2;3;7
0,243;2;3;8
0,426;2;3;9
1,256;2;3;10
2,29;2;3;11
2,452;2;3;12
2,381;2;3;13
2,031;2;3;14
1,557;2;3;15
0,887;2;3;16
0,026;2;3;17
0,0;2;3;18
0,0;2;3;19
0,0;2;3;20
0,0;2;3;21
0,0;2;3;22
0,0;2;3;23
0,0;2;4;0
0,0;2;4;1
0,0;2;4;2
0,0;2;4;3
0,0;2;4;4
0,0;2;4;5
0,0;2;4;6
0,0;2;4;7
0,694;2;4;8
0,763;2;4;9
0,892;2;4;10
1,749;2;4;11
2,415;2;4;12
2,389;2;4;13
2,111;2;4;14
1,607;2;4;15
0,909;2;4;16
0,035;2;4;17
0,0;2;4;18
0,0;2;4;19
0,0;2;4;20
0,0;2;4;21
0,0;2;4;22
0,0;2;4;23
0,0;2;5;0
0,0;2;5;1
0,0;2;5;2
0,0;2;5;3
0,0;2;5;4
0,0;2;5;5
0,0;2;5;6
0,0;2;5;7
0,839;2;5;8
1,787;2;5;9
2,293;2;5;10
2,581;2;5;11
2,613;2;5;12
2,524;2;5;13
2,194;2;5;14
1,674;2;5;15
0,956;2;5;16
0,049;2;5;17
0,0;2;5;18
0,0;2;5;19
0,0;2;5;20
0,0;2;5;21
0,0;2;5;22
0,0;2;5;23
0,0;2;6;0
0,0;2;6;1
0,0;2;6;2
0,0;2;6;3
0,0;2;6;4
0,0;2;6;5
0,0;2;6;6
0,0;2;6;7
0,181;2;6;8
0,262;2;6;9
0,313;2;6;10
0,473;2;6;11
0,413;2;6;12
1,658;2;6;13
2,14;2;6;14
1,469;2;6;15
0,467;2;6;16
0,027;2;6;17
0,0;2;6;18
0,0;2;6;19
0,0;2;6;20
0,0;2;6;21
0,0;2;6;22
0,0;2;6;23
0,0;2;7;0
0,0;2;7;1
0,0;2;7;2
0,0;2;7;3
0,0;2;7;4
0,0;2;7;5
0,0;2;7;6
0,0;2;7;7
0,806;2;7;8
1,536;2;7;9
1,9;2;7;10
2,195;2;7;11
2,056;2;7;12
2,389;2;7;13
2,143;2;7;14
1,624;2;7;15
0,925;2;7;16
0,05;2;7;17
0,0;2;7;18
0,0;2;7;19
0,0;2;7;20
0,0;2;7;21
0,0;2;7;22
0,0;2;7;23
0,0;2;8;0
0,0;2;8;1
0,0;2;8;2
0,0;2;8;3
0,0;2;8;4
0,0;2;8;5
0,0;2;8;6
0,0;2;8;7
0,584;2;8;8
0,373;2;8;9
0,58;2;8;10
1,305;2;8;11
0,274;2;8;12
0,804;2;8;13
0,411;2;8;14
0,545;2;8;15
0,48;2;8;16
0,044;2;8;17
0,0;2;8;18
0,0;2;8;19
0,0;2;8;20
0,0;2;8;21
0,0;2;8;22
0,0;2;8;23
0,0;2;9;0
0,0;2;9;1
0,0;2;9;2
0,0;2;9;3
0,0;2;9;4
0,0;2;9;5
0,0;2;9;6
0,0;2;9;7
0,128;2;9;8
0,237;2;9;9
0,37;2;9;10
0,205;2;9;11
0,532;2;9;12
1,205;2;9;13
1,178;2;9;14
0,364;2;9;15
0,361;2;9;16
0,039;2;9;17
0,0;2;9;18
0,0;2;9;19
0,0;2;9;20
0,0;2;9;21
0,0;2;9;22
0,0;2;9;23
0,0;2;10;0
0,0;2;10;1
0,0;2;10;2
0,0;2;10;3
0,0;2;10;4
0,0;2;10;5
0,0;2;10;6
0,0;2;10;7
0,327;2;10;8
0,794;2;10;9
0,838;2;10;10
2,394;2;10;11
2,482;2;10;12
2,457;2;10;13
2,091;2;10;14
1,66;2;10;15
0,946;2;10;16
0,133;2;10;17
0,0;2;10;18
0,0;2;10;19
0,0;2;10;20
0,0;2;10;21
0,0;2;10;22
0,0;2;10;23
0,0;2;11;0
0,0;2;11;1
0,0;2;11;2
0,0;2;11;3
0,0;2;11;4
0,0;2;11;5
0,0;2;11;6
0,0;2;11;7
0,511;2;11;8
0,34;2;11;9
0,371;2;11;10
0,575;2;11;11
0,485;2;11;12
0,725;2;11;13
1,405;2;11;14
1,172;2;11;15
0,591;2;11;16
0,026;2;11;17
0,0;2;11;18
0,0;2;11;19
0,0;2;11;20
0,0;2;11;21
0,0;2;11;22
0,0;2;11;23
0,0;2;12;0
0,0;2;12;1
0,0;2;12;2
0,0;2;12;3
0,0;2;12;4
0,0;2;12;5
0,0;2;12;6
0,0;2;12;7
0,134;2;12;8
0,237;2;12;9
0,376;2;12;10
0,656;2;12;11
0,666;2;12;12
0,556;2;12;13
0,404;2;12;14
0,344;2;12;15
0,306;2;12;16
0,063;2;12;17
0,0;2;12;18
0,0;2;12;19
0,0;2;12;20
0,0;2;12;21
0,0;2;12;22
0,0;2;12;23
0,0;2;13;0
0,0;2;13;1
0,0;2;13;2
0,0;2;13;3
0,0;2;13;4
0,0;2;13;5
0,0;2;13;6
0,0;2;13;7
0,286;2;13;8
0,482;2;13;9
1,403;2;13;10
0,659;2;13;11
0,683;2;13;12
0,264;2;13;13
1,401;2;13;14
1,653;2;13;15
0,98;2;13;16
0,181;2;13;17
0,0;2;13;18
0,0;2;13;19
0,0;2;13;20
0,0;2;13;21
0,0;2;13;22
0,0;2;13;23
0,0;2;14;0
0,0;2;14;1
0,0;2;14;2
0,0;2;14;3
0,0;2;14;4
0,0;2;14;5
0,0;2;14;6
0,0;2;14;7
0,232;2;14;8
0,345;2;14;9
0,392;2;14;10
0,749;2;14;11
1,636;2;14;12
2,102;2;14;13
2,206;2;14;14
1,704;2;14;15
1,009;2;14;16
0,196;2;14;17
0,0;2;14;18
0,0;2;14;19
0,0;2;14;20
0,0;2;14;21
0,0;2;14;22
0,0;2;14;23
0,0;2;15;0
0,0;2;15;1
0,0;2;15;2
0,0;2;15;3
0,0;2;15;4
0,0;2;15;5
0,0;2;15;6
0,0;2;15;7
0,685;2;15;8
1,703;2;15;9
2,283;2;15;10
2,607;2;15;11
2,588;2;15;12
2,516;2;15;13
2,113;2;15;14
1,777;2;15;15
0,939;2;15;16
0,156;2;15;17
0,0;2;15;18
0,0;2;15;19
0,0;2;15;20
0,0;2;15;21
0,0;2;15;22
0,0;2;15;23
0,0;2;16;0
0,0;2;16;1
0,0;2;16;2
0,0;2;16;3
0,0;2;16;4
0,0;2;16;5
0,0;2;16;6
0,0;2;16;7
1,016;2;16;8
1,851;2;16;9
2,232;2;16;10
2,609;2;16;11
2,531;2;16;12
2,277;2;16;13
2,243;2;16;14
1,703;2;16;15
1,027;2;16;16
0,202;2;16;17
0,0;2;16;18
0,0;2;16;19
0,0;2;16;20
0,0;2;16;21
0,0;2;16;22
0,0;2;16;23
0,0;2;17;0
0,0;2;17;1
0,0;2;17;2
0,0;2;17;3
0,0;2;17;4
0,0;2;17;5
0,0;2;17;6
0,0;2;17;7
0,012;2;17;8
0,298;2;17;9
0,588;2;17;10
0,549;2;17;11
0,994;2;17;12
0,783;2;17;13
0,94;2;17;14
1,092;2;17;15
0,632;2;17;16
0,09;2;17;17
0,0;2;17;18
0,0;2;17;19
0,0;2;17;20
0,0;2;17;21
0,0;2;17;22
0,0;2;17;23
0,0;2;18;0
0,0;2;18;1
0,0;2;18;2
0,0;2;18;3
0,0;2;18;4
0,0;2;18;5
0,0;2;18;6
0,0;2;18;7
1,041;2;18;8
1,327;2;18;9
0,906;2;18;10
0,435;2;18;11
1,464;2;18;12
1,783;2;18;13
1,35;2;18;14
1,264;2;18;15
0,627;2;18;16
0,156;2;18;17
0,0;2;18;18
0,0;2;18;19
0,0;2;18;20
0,0;2;18;21
0,0;2;18;22
0,0;2;18;23
0,0;2;19;0
0,0;2;19;1
0,0;2;19;2
0,0;2;19;3
0,0;2;19;4
0,0;2;19;5
0,0;2;19;6
0,0;2;19;7
1,18;2;19;8
1,965;2;19;9
2,389;2;19;10
2,724;2;19;11
2,697;2;19;12
2,585;2;19;13
2,29;2;19;14
1,76;2;19;15
1,083;2;19;16
0,244;2;19;17
0,0;2;19;18
0,0;2;19;19
0,0;2;19;20
0,0;2;19;21
0,0;2;19;22
0,0;2;19;23
0,0;2;20;0
0,0;2;20;1
0,0;2;20;2
0,0;2;20;3
0,0;2;20;4
0,0;2;20;5
0,0;2;20;6
0,0;2;20;7
1,196;2;20;8
1,907;2;20;9
2,347;2;20;10
2,608;2;20;11
2,617;2;20;12
2,511;2;20;13
2,257;2;20;14
1,757;2;20;15
1,086;2;20;16
0,249;2;20;17
0,0;2;20;18
0,0;2;20;19
0,0;2;20;20
0,0;2;20;21
0,0;2;20;22
0,0;2;20;23
0,0;2;21;0
0,0;2;21;1
0,0;2;21;2
0,0;2;21;3
0,0;2;21;4
0,0;2;21;5
0,0;2;21;6
0,0;2;21;7
1,19;2;21;8
1,897;2;21;9
2,362;2;21;10
2,633;2;21;11
2,635;2;21;12
2,549;2;21;13
2,283;2;21;14
1,761;2;21;15
1,084;2;21;16
0,255;2;21;17
0,0;2;21;18
0,0;2;21;19
0,0;2;21;20
0,0;2;21;21
0,0;2;21;22
0,0;2;21;23
0,0;2;22;0
0,0;2;22;1
0,0;2;22;2
0,0;2;22;3
0,0;2;22;4
0,0;2;22;5
0,0;2;22;6
0,0;2;22;7
1,205;2;22;8
1,894;2;22;9
2,347;2;22;10
2,571;2;22;11
2,582;2;22;12
2,495;2;22;13
2,214;2;22;14
1,732;2;22;15
1,072;2;22;16
0,262;2;22;17
0,0;2;22;18
0,0;2;22;19
0,0;2;22;20
0,0;2;22;21
0,0;2;22;22
0,0;2;22;23
0,0;2;23;0
0,0;2;23;1
0,0;2;23;2
0,0;2;23;3
0,0;2;23;4
0,0;2;23;5
0,0;2;23;6
0,0;2;23;7
1,201;2;23;8
1,904;2;23;9
2,343;2;23;10
2,584;2;23;11
2,584;2;23;12
2,503;2;23;13
2,238;2;23;14
1,747;2;23;15
1,071;2;23;16
0,267;2;23;17
0,0;2;23;18
0,0;2;23;19
0,0;2;23;20
0,0;2;23;21
0,0;2;23;22
0,0;2;23;23
0,0;2;24;0
0,0;2;24;1
0,0;2;24;2
0,0;2;24;3
0,0;2;24;4
0,0;2;24;5
0,0;2;24;6
0,0;2;24;7
1,158;2;24;8
1,875;2;24;9
2,319;2;24;10
2,568;2;24;11
2,624;2;24;12
2,559;2;24;13
2,287;2;24;14
1,788;2;24;15
1,082;2;24;16
0,271;2;24;17
0,0;2;24;18
0,0;2;24;19
0,0;2;24;20
0,0;2;24;21
0,0;2;24;22
0,0;2;24;23
0,0;2;25;0
0,0;2;25;1
0,0;2;25;2
0,0;2;25;3
0,0;2;25;4
0,0;2;25;5
0,0;2;25;6
0,0;2;25;7
1,108;2;25;8
1,728;2;25;9
2,053;2;25;10
0,283;2;25;11
2,612;2;25;12
2,387;2;25;13
2,03;2;25;14
1,051;2;25;15
0,95;2;25;16
0,191;2;25;17
0,0;2;25;18
0,0;2;25;19
0,0;2;25;20
0,0;2;25;21
0,0;2;25;22
0,0;2;25;23
0,0;2;26;0
0,0;2;26;1
0,0;2;26;2
0,0;2;26;3
0,0;2;26;4
0,0;2;26;5
0,0;2;26;6
0,0;2;26;7
1,177;2;26;8
1,952;2;26;9
2,461;2;26;10
2,736;2;26;11
2,715;2;26;12
2,673;2;26;13
2,374;2;26;14
1,842;2;26;15
1,125;2;26;16
0,291;2;26;17
0,0;2;26;18
0,0;2;26;19
0,0;2;26;20
0,0;2;26;21
0,0;2;26;22
0,0;2;26;23
0,0;2;27;0
0,0;2;27;1
0,0;2;27;2
0,0;2;27;3
0,0;2;27;4
0,0;2;27;5
0,0;2;27;6
0,0;2;27;7
1,229;2;27;8
2,036;2;27;9
2,447;2;27;10
2,76;2;27;11
2,819;2;27;12
2,664;2;27;13
2,292;2;27;14
1,68;2;27;15
0,961;2;27;16
0,274;2;27;17
0,0;2;27;18
0,0;2;27;19
0,0;2;27;20
0,0;2;27;21
0,0;2;27;22
