Datetime;Energy;Month;Day;Hour
2022-01-10;1,913;1;10;15
2022-01-10;1,775;1;10;16
2022-01-10;2,361;1;10;17
2022-01-10;1,706;1;10;18
2022-01-10;1,46;1;10;19
2022-01-10;1,61;1;10;20
2022-01-10;1,744;1;10;21
2022-01-10;1,831;1;10;22
2022-01-10;2,088;1;10;23
2022-01-10;1,496;1;10;24
2022-01-11;0,984;1;11;1
2022-01-11;0,563;1;11;2
2022-01-11;0,865;1;11;3
2022-01-11;0,833;1;11;4
2022-01-11;0,821;1;11;5
2022-01-11;0,818;1;11;6
2022-01-11;0,825;1;11;7
2022-01-11;0,885;1;11;8
2022-01-11;1,038;1;11;9
2022-01-11;1,342;1;11;10
2022-01-11;1,222;1;11;11
2022-01-11;1,091;1;11;12
2022-01-11;1,238;1;11;13
2022-01-11;1,482;1;11;14
2022-01-11;1,319;1;11;15
2022-01-11;2,07;1;11;16
2022-01-11;1,128;1;11;17
2022-01-11;1,454;1;11;18
2022-01-11;2,179;1;11;19
2022-01-11;2,082;1;11;20
2022-01-11;2,012;1;11;21
2022-01-11;2,021;1;11;22
2022-01-11;2,337;1;11;23
2022-01-11;1,937;1;11;24
2022-01-12;1,607;1;12;1
2022-01-12;0,642;1;12;2
2022-01-12;0,784;1;12;3
2022-01-12;0,973;1;12;4
2022-01-12;0,865;1;12;5
2022-01-12;0,852;1;12;6
2022-01-12;0,96;1;12;7
2022-01-12;0,969;1;12;8
2022-01-12;1,948;1;12;9
2022-01-12;1,781;1;12;10
2022-01-12;1,101;1;12;11
2022-01-12;1,894;1;12;12
2022-01-12;1,451;1;12;13
2022-01-12;1,502;1;12;14
2022-01-12;1,639;1;12;15
2022-01-12;1,751;1;12;16
2022-01-12;1,985;1;12;17
2022-01-12;1,499;1;12;18
2022-01-12;1,824;1;12;19
2022-01-12;1,727;1;12;20
2022-01-12;2,184;1;12;21
2022-01-12;2,336;1;12;22
2022-01-12;2,356;1;12;23
2022-01-12;1,958;1;12;24
2022-01-13;3,281;1;13;1
2022-01-13;1,245;1;13;2
2022-01-13;1,186;1;13;3
2022-01-13;1,006;1;13;4
2022-01-13;1,339;1;13;5
2022-01-13;1,171;1;13;6
2022-01-13;1,558;1;13;7
2022-01-13;1,089;1;13;8
2022-01-13;1,43;1;13;9
2022-01-13;1,785;1;13;10
2022-01-13;1,78;1;13;11
2022-01-13;1,643;1;13;12
2022-01-13;1,597;1;13;13
2022-01-13;1,44;1;13;14
