CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000004500478JL;12/01/2022;23;2,356;R
ES0021000004500478JL;12/01/2022;24;1,958;R
ES0021000004500478JL;13/01/2022;1;3,281;R
ES0021000004500478JL;13/01/2022;2;1,245;R
ES0021000004500478JL;13/01/2022;3;1,186;R
ES0021000004500478JL;13/01/2022;4;1,006;R
ES0021000004500478JL;13/01/2022;5;1,339;R
ES0021000004500478JL;13/01/2022;6;1,171;R
ES0021000004500478JL;13/01/2022;7;1,558;R
ES0021000004500478JL;13/01/2022;8;1,089;R
ES0021000004500478JL;13/01/2022;9;1,430;R
ES0021000004500478JL;13/01/2022;10;1,785;R
ES0021000004500478JL;13/01/2022;11;1,780;R
ES0021000004500478JL;13/01/2022;12;1,643;R
ES0021000004500478JL;13/01/2022;13;1,597;R
ES0021000004500478JL;13/01/2022;14;1,440;R
ES0021000004500478JL;13/01/2022;15;1,537;R
ES0021000004500478JL;13/01/2022;16;2,206;R
ES0021000004500478JL;13/01/2022;17;2,105;R
ES0021000004500478JL;13/01/2022;18;1,905;R
ES0021000004500478JL;13/01/2022;19;1,606;R
ES0021000004500478JL;13/01/2022;20;1,829;R
ES0021000004500478JL;13/01/2022;21;1,993;R
ES0021000004500478JL;13/01/2022;22;2,118;R
ES0021000004500478JL;13/01/2022;23;2,249;R
ES0021000004500478JL;13/01/2022;24;2,097;R
ES0021000004500478JL;14/01/2022;1;1,330;R
ES0021000004500478JL;14/01/2022;2;1,480;R
ES0021000004500478JL;14/01/2022;3;1,372;R
ES0021000004500478JL;14/01/2022;4;1,381;R
ES0021000004500478JL;14/01/2022;5;1,647;R
ES0021000004500478JL;14/01/2022;6;1,306;R
ES0021000004500478JL;14/01/2022;7;1,582;R
ES0021000004500478JL;14/01/2022;8;1,861;R
ES0021000004500478JL;14/01/2022;9;1,647;R
ES0021000004500478JL;14/01/2022;10;1,715;R
ES0021000004500478JL;14/01/2022;11;1,300;R
ES0021000004500478JL;14/01/2022;12;1,360;R
ES0021000004500478JL;14/01/2022;13;1,493;R
ES0021000004500478JL;14/01/2022;14;2,045;R
ES0021000004500478JL;14/01/2022;15;2,871;R
ES0021000004500478JL;14/01/2022;16;2,953;R
ES0021000004500478JL;14/01/2022;17;2,537;R
ES0021000004500478JL;14/01/2022;18;2,617;R
ES0021000004500478JL;14/01/2022;19;2,145;R
ES0021000004500478JL;14/01/2022;20;2,559;R
ES0021000004500478JL;14/01/2022;21;2,248;R
ES0021000004500478JL;14/01/2022;22;2,444;R
ES0021000004500478JL;14/01/2022;23;2,862;R
ES0021000004500478JL;14/01/2022;24;2,838;R
ES0021000004500478JL;15/01/2022;1;2,247;R
ES0021000004500478JL;15/01/2022;2;1,425;R
ES0021000004500478JL;15/01/2022;3;1,159;R
ES0021000004500478JL;15/01/2022;4;1,206;R
ES0021000004500478JL;15/01/2022;5;1,070;R
ES0021000004500478JL;15/01/2022;6;1,203;R
ES0021000004500478JL;15/01/2022;7;1,309;R
ES0021000004500478JL;15/01/2022;8;1,340;R
ES0021000004500478JL;15/01/2022;9;2,348;R
ES0021000004500478JL;15/01/2022;10;3,371;R
ES0021000004500478JL;15/01/2022;11;2,378;R
ES0021000004500478JL;15/01/2022;12;1,856;R
ES0021000004500478JL;15/01/2022;13;1,457;R
ES0021000004500478JL;15/01/2022;14;2,555;R
ES0021000004500478JL;15/01/2022;15;1,790;R
ES0021000004500478JL;15/01/2022;16;2,348;R
ES0021000004500478JL;15/01/2022;17;2,568;R
ES0021000004500478JL;15/01/2022;18;1,930;R
ES0021000004500478JL;15/01/2022;19;2,199;R
ES0021000004500478JL;15/01/2022;20;1,761;R
ES0021000004500478JL;15/01/2022;21;1,761;R
ES0021000004500478JL;15/01/2022;22;2,412;R
ES0021000004500478JL;15/01/2022;23;3,064;R
ES0021000004500478JL;15/01/2022;24;3,090;R
ES0021000004500478JL;16/01/2022;1;2,917;R
ES0021000004500478JL;16/01/2022;2;2,627;R
ES0021000004500478JL;16/01/2022;3;1,467;R
ES0021000004500478JL;16/01/2022;4;1,204;R
ES0021000004500478JL;16/01/2022;5;1,276;R
ES0021000004500478JL;16/01/2022;6;1,319;R
ES0021000004500478JL;16/01/2022;7;1,660;R
ES0021000004500478JL;16/01/2022;8;1,170;R
ES0021000004500478JL;16/01/2022;9;1,687;R
ES0021000004500478JL;16/01/2022;10;1,242;R
ES0021000004500478JL;16/01/2022;11;2,085;R
ES0021000004500478JL;16/01/2022;12;2,526;R
ES0021000004500478JL;16/01/2022;13;2,405;R
ES0021000004500478JL;16/01/2022;14;2,148;R
ES0021000004500478JL;16/01/2022;15;2,073;R
ES0021000004500478JL;16/01/2022;16;1,830;R
ES0021000004500478JL;16/01/2022;17;1,806;R
ES0021000004500478JL;16/01/2022;18;1,892;R
ES0021000004500478JL;16/01/2022;19;2,273;R
ES0021000004500478JL;16/01/2022;20;2,856;R
ES0021000004500478JL;16/01/2022;21;2,649;R
ES0021000004500478JL;16/01/2022;22;2,696;R
ES0021000004500478JL;16/01/2022;23;2,912;R
ES0021000004500478JL;16/01/2022;24;2,468;R
ES0021000004500478JL;17/01/2022;1;1,544;R
ES0021000004500478JL;17/01/2022;2;1,184;R
ES0021000004500478JL;17/01/2022;3;1,617;R
ES0021000004500478JL;17/01/2022;4;1,494;R
ES0021000004500478JL;17/01/2022;5;1,613;R
ES0021000004500478JL;17/01/2022;6;1,476;R
ES0021000004500478JL;17/01/2022;7;1,713;R
ES0021000004500478JL;17/01/2022;8;1,927;R
ES0021000004500478JL;17/01/2022;9;1,996;R
ES0021000004500478JL;17/01/2022;10;2,152;R
ES0021000004500478JL;17/01/2022;11;1,784;R
ES0021000004500478JL;17/01/2022;12;1,655;R
ES0021000004500478JL;17/01/2022;13;1,456;R
ES0021000004500478JL;17/01/2022;14;1,554;R
ES0021000004500478JL;17/01/2022;15;1,914;R
ES0021000004500478JL;17/01/2022;16;1,485;R
ES0021000004500478JL;17/01/2022;17;2,488;R
ES0021000004500478JL;17/01/2022;18;2,554;R
ES0021000004500478JL;17/01/2022;19;2,028;R
ES0021000004500478JL;17/01/2022;20;2,763;R
ES0021000004500478JL;17/01/2022;21;3,030;R
ES0021000004500478JL;17/01/2022;22;4,236;R
ES0021000004500478JL;17/01/2022;23;3,387;R
ES0021000004500478JL;17/01/2022;24;2,745;R
ES0021000004500478JL;18/01/2022;1;2,995;R
ES0021000004500478JL;18/01/2022;2;1,704;R
ES0021000004500478JL;18/01/2022;3;1,208;R
ES0021000004500478JL;18/01/2022;4;1,698;R
ES0021000004500478JL;18/01/2022;5;1,370;R
ES0021000004500478JL;18/01/2022;6;1,359;R
ES0021000004500478JL;18/01/2022;7;1,737;R
ES0021000004500478JL;18/01/2022;8;2,577;R
ES0021000004500478JL;18/01/2022;9;2,800;R
ES0021000004500478JL;18/01/2022;10;2,120;R
ES0021000004500478JL;18/01/2022;11;2,813;R
ES0021000004500478JL;18/01/2022;12;3,148;R
ES0021000004500478JL;18/01/2022;13;3,150;R
ES0021000004500478JL;18/01/2022;14;2,361;R
ES0021000004500478JL;18/01/2022;15;2,303;R
ES0021000004500478JL;18/01/2022;16;2,732;R
ES0021000004500478JL;18/01/2022;17;1,495;R
ES0021000004500478JL;18/01/2022;18;1,758;R
ES0021000004500478JL;18/01/2022;19;1,948;R
ES0021000004500478JL;18/01/2022;20;2,012;R
ES0021000004500478JL;18/01/2022;21;2,389;R
ES0021000004500478JL;18/01/2022;22;3,080;R
ES0021000004500478JL;18/01/2022;23;2,844;R
ES0021000004500478JL;18/01/2022;24;3,022;R
ES0021000004500478JL;19/01/2022;1;2,417;R
ES0021000004500478JL;19/01/2022;2;1,447;R
ES0021000004500478JL;19/01/2022;3;1,331;R
ES0021000004500478JL;19/01/2022;4;1,622;R
ES0021000004500478JL;19/01/2022;5;1,625;R
ES0021000004500478JL;19/01/2022;6;1,520;R
ES0021000004500478JL;19/01/2022;7;1,728;R
ES0021000004500478JL;19/01/2022;8;1,530;R
ES0021000004500478JL;19/01/2022;9;1,863;R
ES0021000004500478JL;19/01/2022;10;2,373;R
ES0021000004500478JL;19/01/2022;11;1,916;R
ES0021000004500478JL;19/01/2022;12;2,165;R
ES0021000004500478JL;19/01/2022;13;1,690;R
ES0021000004500478JL;19/01/2022;14;1,937;R
ES0021000004500478JL;19/01/2022;15;1,707;R
ES0021000004500478JL;19/01/2022;16;2,003;R
ES0021000004500478JL;19/01/2022;17;1,896;R
ES0021000004500478JL;19/01/2022;18;1,175;R
ES0021000004500478JL;19/01/2022;19;1,327;R
ES0021000004500478JL;19/01/2022;20;1,140;R
ES0021000004500478JL;19/01/2022;21;2,949;R
ES0021000004500478JL;19/01/2022;22;2,368;R
ES0021000004500478JL;19/01/2022;23;2,523;R
ES0021000004500478JL;19/01/2022;24;1,961;R
ES0021000004500478JL;20/01/2022;1;1,675;R
ES0021000004500478JL;20/01/2022;2;1,334;R
ES0021000004500478JL;20/01/2022;3;1,544;R
ES0021000004500478JL;20/01/2022;4;1,740;R
ES0021000004500478JL;20/01/2022;5;1,351;R
ES0021000004500478JL;20/01/2022;6;1,678;R
ES0021000004500478JL;20/01/2022;7;1,618;R
ES0021000004500478JL;20/01/2022;8;1,612;R
ES0021000004500478JL;20/01/2022;9;2,346;R
ES0021000004500478JL;20/01/2022;10;2,618;R
ES0021000004500478JL;20/01/2022;11;2,259;R
ES0021000004500478JL;20/01/2022;12;3,172;R
ES0021000004500478JL;20/01/2022;13;2,749;R
ES0021000004500478JL;20/01/2022;14;2,449;R
ES0021000004500478JL;20/01/2022;15;2,166;R
ES0021000004500478JL;20/01/2022;16;2,067;R
ES0021000004500478JL;20/01/2022;17;1,379;R
ES0021000004500478JL;20/01/2022;18;1,673;R
ES0021000004500478JL;20/01/2022;19;1,568;R
ES0021000004500478JL;20/01/2022;20;1,634;R
ES0021000004500478JL;20/01/2022;21;2,092;R
ES0021000004500478JL;20/01/2022;22;2,762;R
ES0021000004500478JL;20/01/2022;23;2,535;R
ES0021000004500478JL;20/01/2022;24;1,761;R
ES0021000004500478JL;21/01/2022;1;1,397;R
ES0021000004500478JL;21/01/2022;2;1,022;R
ES0021000004500478JL;21/01/2022;3;1,278;R
ES0021000004500478JL;21/01/2022;4;1,195;R
ES0021000004500478JL;21/01/2022;5;1,109;R
ES0021000004500478JL;21/01/2022;6;1,199;R
ES0021000004500478JL;21/01/2022;7;1,486;R
ES0021000004500478JL;21/01/2022;8;1,189;R
ES0021000004500478JL;21/01/2022;9;1,726;R
ES0021000004500478JL;21/01/2022;10;1,876;R
ES0021000004500478JL;21/01/2022;11;2,331;R
ES0021000004500478JL;21/01/2022;12;2,472;R
ES0021000004500478JL;21/01/2022;13;2,180;R
ES0021000004500478JL;21/01/2022;14;1,962;R
ES0021000004500478JL;21/01/2022;15;2,276;R
ES0021000004500478JL;21/01/2022;16;2,559;R
ES0021000004500478JL;21/01/2022;17;2,310;R
ES0021000004500478JL;21/01/2022;18;1,819;R
ES0021000004500478JL;21/01/2022;19;1,982;R
ES0021000004500478JL;21/01/2022;20;2,462;R
ES0021000004500478JL;21/01/2022;21;2,913;R
ES0021000004500478JL;21/01/2022;22;3,565;R
ES0021000004500478JL;21/01/2022;23;3,599;R
ES0021000004500478JL;21/01/2022;24;4,491;R
ES0021000004500478JL;22/01/2022;1;3,656;R
ES0021000004500478JL;22/01/2022;2;1,563;R
ES0021000004500478JL;22/01/2022;3;0,987;R
ES0021000004500478JL;22/01/2022;4;1,121;R
ES0021000004500478JL;22/01/2022;5;0,960;R
ES0021000004500478JL;22/01/2022;6;1,085;R
ES0021000004500478JL;22/01/2022;7;1,260;R
ES0021000004500478JL;22/01/2022;8;1,113;R
ES0021000004500478JL;22/01/2022;9;1,482;R
ES0021000004500478JL;22/01/2022;10;2,160;R
ES0021000004500478JL;22/01/2022;11;1,831;R
ES0021000004500478JL;22/01/2022;12;1,317;R
ES0021000004500478JL;22/01/2022;13;1,392;R
ES0021000004500478JL;22/01/2022;14;1,657;R
ES0021000004500478JL;22/01/2022;15;2,191;R
ES0021000004500478JL;22/01/2022;16;2,783;R
ES0021000004500478JL;22/01/2022;17;2,614;R
ES0021000004500478JL;22/01/2022;18;2,412;R
ES0021000004500478JL;22/01/2022;19;2,592;R
