CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000003073076YC;10/01/2023;11;0,252;R
ES0021000003073076YC;10/01/2023;12;0,279;R
ES0021000003073076YC;10/01/2023;13;0,485;R
ES0021000003073076YC;10/01/2023;14;1,469;R
ES0021000003073076YC;10/01/2023;15;0,428;R
ES0021000003073076YC;10/01/2023;16;0,486;R
ES0021000003073076YC;10/01/2023;17;0,400;R
ES0021000003073076YC;10/01/2023;18;0,319;R
ES0021000003073076YC;10/01/2023;19;0,541;R
ES0021000003073076YC;10/01/2023;20;0,769;R
ES0021000003073076YC;10/01/2023;21;2,220;R
ES0021000003073076YC;10/01/2023;22;1,449;R
ES0021000003073076YC;10/01/2023;23;1,279;R
ES0021000003073076YC;10/01/2023;24;1,238;R
ES0021000003073076YC;11/01/2023;1;0,595;R
ES0021000003073076YC;11/01/2023;2;0,456;R
ES0021000003073076YC;11/01/2023;3;0,516;R
ES0021000003073076YC;11/01/2023;4;0,374;R
ES0021000003073076YC;11/01/2023;5;0,394;R
ES0021000003073076YC;11/01/2023;6;0,319;R
ES0021000003073076YC;11/01/2023;7;0,442;R
ES0021000003073076YC;11/01/2023;8;0,341;R
ES0021000003073076YC;11/01/2023;9;0,340;R
ES0021000003073076YC;11/01/2023;10;0,573;R
ES0021000003073076YC;11/01/2023;11;0,434;R
ES0021000003073076YC;11/01/2023;12;0,520;R
ES0021000003073076YC;11/01/2023;13;0,587;R
ES0021000003073076YC;11/01/2023;14;2,003;R
ES0021000003073076YC;11/01/2023;15;1,268;R
ES0021000003073076YC;11/01/2023;16;0,443;R
ES0021000003073076YC;11/01/2023;17;0,373;R
ES0021000003073076YC;11/01/2023;18;0,405;R
ES0021000003073076YC;11/01/2023;19;0,866;R
ES0021000003073076YC;11/01/2023;20;0,666;R
ES0021000003073076YC;11/01/2023;21;1,168;R
ES0021000003073076YC;11/01/2023;22;2,145;R
ES0021000003073076YC;11/01/2023;23;1,382;R
ES0021000003073076YC;11/01/2023;24;1,106;R
ES0021000003073076YC;12/01/2023;1;1,124;R
ES0021000003073076YC;12/01/2023;2;0,700;R
ES0021000003073076YC;12/01/2023;3;0,458;R
ES0021000003073076YC;12/01/2023;4;0,457;R
ES0021000003073076YC;12/01/2023;5;1,069;R
ES0021000003073076YC;12/01/2023;6;0,558;R
ES0021000003073076YC;12/01/2023;7;0,572;R
ES0021000003073076YC;12/01/2023;8;1,000;R
ES0021000003073076YC;12/01/2023;9;1,159;R
ES0021000003073076YC;12/01/2023;10;0,479;R
ES0021000003073076YC;12/01/2023;11;0,385;R
ES0021000003073076YC;12/01/2023;12;0,323;R
ES0021000003073076YC;12/01/2023;13;0,338;R
ES0021000003073076YC;12/01/2023;14;0,882;R
ES0021000003073076YC;12/01/2023;15;0,937;R
ES0021000003073076YC;12/01/2023;16;0,501;R
ES0021000003073076YC;12/01/2023;17;0,315;R
ES0021000003073076YC;12/01/2023;18;0,795;R
ES0021000003073076YC;12/01/2023;19;2,870;R
ES0021000003073076YC;12/01/2023;20;4,741;R
ES0021000003073076YC;12/01/2023;21;3,452;R
ES0021000003073076YC;12/01/2023;22;3,405;R
ES0021000003073076YC;12/01/2023;23;0,000;R
ES0021000003073076YC;12/01/2023;24;0,000;R
ES0021000003073076YC;13/01/2023;1;0,000;R
ES0021000003073076YC;13/01/2023;2;3,670;R
ES0021000003073076YC;13/01/2023;3;3,301;R
ES0021000003073076YC;13/01/2023;4;2,918;R
ES0021000003073076YC;13/01/2023;5;2,755;R
ES0021000003073076YC;13/01/2023;6;2,701;R
ES0021000003073076YC;13/01/2023;7;2,524;R
ES0021000003073076YC;13/01/2023;8;2,022;R
